"Found","Response Code","Content Length"
"/_vti_bin/shtml.dll/_catalogs/","200","313"
"/_vti_bin/shtml.dll/_conf.php","200","312"
"/_vti_bin/shtml.dll/_assets/.bash_history.php","200","303"
"/_vti_pvt/.subversion/.svn/","500","260"
"/_vti_bin/shtml.dll/_backup/.cache/","200","303"
"/_vti_bin/shtml.dll/_assets/.cache/","200","303"
"/_vti_bin/shtml.dll/_archive/.bash_history.php","200","303"
"/_vti_pvt/_db_backups/.cache.php","500","260"
"/_vti_bin/shtml.dll/_backup/.config.php","200","303"
"/_vti_bin/shtml.dll/_config.php","200","314"
"/_vti_bin/shtml.dll/_code/","200","309"
"/_vti_bin/shtml.dll/_assets/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_archive/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_backup/.config/","200","303"
"/_vti_pvt/.subversion/.svn/entries/","500","260"
"/_vti_bin/shtml.dll/_assets/.config/","200","303"
"/_vti_bin/shtml.dll/_archive/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_ajax/.bash_history/","200","303"
"/_vti_pvt/.subversion/.perf.php","500","256"
"/_vti_pvt/_dummy.php","500","256"
"/_vti_pvt/.subversion/.perf/.cache.php","500","256"
"/_vti_bin/shtml.dll/_backup/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_css.php","200","311"
"/_vti_bin/shtml.dll/_archive/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_ajax/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_common/","200","311"
"/_vti_bin/shtml.dll/_assets/.cache.php","200","303"
"/_vti_pvt/.subversion/.swf/","500","260"
"/_vti_bin/shtml.dll/_backup/.cvs/","200","303"
"/_vti_pvt/_images/","500","256"
"/_vti_bin/shtml.dll/_admin/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_assets/.cvs/","200","303"
"/_vti_bin/shtml.dll/_archive/.cache.php","200","303"
"/_vti_bin/shtml.dll/_backup/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_ajax/.bashrc/","200","303"
"/_vti_pvt/_files.php","500","260"
"/_vti_pvt/_flash.php","500","260"
"/_vti_bin/shtml.dll/_data.php","200","312"
"/_vti_pvt/.svn/.sh_history/","500","260"
"/_vti_bin/shtml.dll/_conf/","200","309"
"/_vti_bin/shtml.dll/_admin/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_ajax/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_archive/.cache/","200","303"
"/_vti_bin/shtml.dll/_assets/.config.php","200","303"
"/_vti_bin/shtml.dll/_backup/.cvsignore/","200","303"
"/_vti_pvt/.svn/.svn/entries.php","500","260"
"/_vti_pvt/_img/","500","260"
"/_vti_bin/shtml.dll/_adm/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_admin/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_assets/.cvsignore/","200","303"
"/_vti_bin/shtml.dll/_ajax/.cache/","200","303"
"/_vti_bin/shtml.dll/_backup/.forward.php","200","303"
"/_vti_bin/shtml.dll/_archive/.config.php","200","303"
"/_vti_bin/shtml.dll/_adm/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_database.php","200","316"
"/_vti_bin/shtml.dll/_config/","200","311"
"/_vti_bin/shtml.dll/_admin/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_ajax/.cache.php","200","303"
"/_vti_bin/shtml.dll/_archive/.config/","200","303"
"/_vti_bin/shtml.dll/_assets/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_assets/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_backup/.forward/","200","303"
"/_vti_pvt/.svn/.swf.php","500","256"
"/_vti_bin/shtml.dll/_adm/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_admin/.cache/","200","303"
"/_vti_bin/shtml.dll/_ajax/.config/","200","303"
"/_vti_bin/shtml.dll/_assets/.forward/","200","303"
"/_vti_bin/shtml.dll/_archive/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_backup/.git/HEAD.php","200","303"
"/_vti_bin/shtml.dll/_/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_adm/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_css/","200","308"
"/_vti_bin/shtml.dll/_admin/.cache.php","200","303"
"/_vti_bin/shtml.dll/_db_backups.php","200","318"
"/_vti_bin/shtml.dll/_ajax/.config.php","200","303"
"/_vti_bin/shtml.dll/_archive/.cvs/","200","303"
"/_vti_bin/shtml.dll/@/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_archive/.cvsignore/","200","303"
"/_vti_bin/shtml.dll/_assets/.forward.php","200","303"
"/_vti_bin/shtml.dll/_/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_backup/.git/HEAD/","200","303"
"/_vti_bin/shtml.dll/_admin/.config/","200","303"
"/_vti_bin/shtml.dll/_ajax/.cvs/","200","303"
"/_vti_bin/shtml.dll/@/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_archive/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_backup/.history.php","200","303"
"/_vti_pvt/.subversion/.sh_history.php","500","260"
"/_vti_pvt/_img.php","500","260"
