"Found","Response Code","Content Length"
"/_vti_bin/shtml.dll/_catalogs/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_css/","200","308"
"/_vti_bin/shtml.dll/_code/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_catalogs/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_code/.cache.php","200","303"
"/_vti_bin/shtml.dll/_layouts.php","200","315"
"/_vti_bin/shtml.dll/_catalogs/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_data/","200","309"
"/_vti_bin/shtml.dll/_cache/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_borders/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_code/.cache/","200","303"
"/_vti_bin/shtml.dll/_catalogs/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_cache/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_code/.config.php","200","303"
"/_vti_bin/shtml.dll/_lib.php","200","311"
"/_vti_bin/shtml.dll/_catalogs/.cache/","200","303"
"/_vti_bin/shtml.dll/_database/","200","313"
"/_vti_bin/shtml.dll/_cache/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_code/.config/","200","303"
"/_vti_bin/shtml.dll/_borders/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_catalogs/.cache.php","200","303"
"/_vti_bin/shtml.dll/_code/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_cache/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_code/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_media.php","200","313"
"/_vti_bin/shtml.dll/_catalogs/.config/","200","303"
"/_vti_bin/shtml.dll/_borders/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_db_backups/","200","315"
"/_vti_bin/shtml.dll/_cache/.cache.php","200","303"
"/_vti_bin/shtml.dll/_borders/.cache.php","200","303"
"/_vti_bin/shtml.dll/_baks/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_catalogs/.config.php","200","303"
"/_vti_bin/shtml.dll/_cache/.cache/","200","303"
"/_vti_bin/shtml.dll/_code/.forward.php","200","303"
"/_vti_bin/shtml.dll/_baks/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_borders/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_borders/.cache/","200","303"
"/_vti_bin/shtml.dll/_catalogs/.cvs/","200","303"
"/_vti_bin/shtml.dll/_mem_bin.php","200","315"
"/_vti_bin/shtml.dll/_catalogs/.cvsignore/","200","303"
"/_vti_bin/shtml.dll/_derived/","200","312"
"/_vti_bin/shtml.dll/_cache/.config.php","200","303"
"/_vti_bin/shtml.dll/_borders/.config.php","200","303"
"/_vti_bin/shtml.dll/_borders/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_code/.cvs/","200","303"
"/_vti_bin/shtml.dll/_backup/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_catalogs/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_cache/.config/","200","303"
"/_vti_bin/shtml.dll/_code/.git/HEAD.php","200","303"
"/_vti_bin/shtml.dll/_borders/.config/","200","303"
"/_vti_bin/shtml.dll/_baks/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_mm.php","200","310"
"/_vti_bin/shtml.dll/_catalogs/.forward/","200","303"
"/_vti_bin/shtml.dll/_backup/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_dev/","200","308"
"/_vti_bin/shtml.dll/_cache/.cvs.php","200","303"
"/_vti_bin/shtml.dll/_borders/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_baks/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_code/.cvsignore/","200","303"
"/_vti_bin/shtml.dll/_backup/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_assets/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_catalogs/.cvsignore.php","200","303"
"/_vti_bin/shtml.dll/_baks/.cache/","200","303"
"/_vti_bin/shtml.dll/_cache/.cvs/","200","303"
"/_vti_bin/shtml.dll/_code/.history.php","200","303"
"/_vti_bin/shtml.dll/_borders/.cvs/","200","303"
"/_vti_bin/shtml.dll/_assets/.bash_history/","200","303"
"/_vti_bin/shtml.dll/_mmserverscripts.php","200","323"
"/_vti_bin/shtml.dll/_catalogs/.git/HEAD/","200","303"
"/_vti_bin/shtml.dll/_backup/.bashrc/","200","303"
"/_vti_bin/shtml.dll/_files/","200","310"
"/_vti_bin/shtml.dll/_dummy/","200","310"
"/_vti_bin/shtml.dll/_borders/.forward.php","200","303"
"/_vti_bin/shtml.dll/_baks/.cache.php","200","303"
"/_vti_bin/shtml.dll/_code/.forward/","200","303"
"/_vti_bin/shtml.dll/_archive/.bash_history.php","200","303"
"/_vti_bin/shtml.dll/_assets/.bashrc.php","200","303"
"/_vti_bin/shtml.dll/_backup/.cache.php","200","303"
"/_vti_bin/shtml.dll/_catalogs/.forward.php","200","303"
"/_vti_bin/shtml.dll/_cache/.cvsignore/","200","303"
"/_vti_bin/shtml.dll/_code/.hta.php","200","303"
"/_vti_bin/shtml.dll/_baks/.config/","200","303"
"/_vti_bin/shtml.dll/_borders/.cvsignore/","200","303"
